Date and Time,Message,Additional Details
2022-03-09T09:54:56.784Z,"E0309 09:54:56.784588    6275 dns.go:126] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: efa.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvprod.nvidia.com client.nvidia.com""","{'gl2_accounted_message_size': '440.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MY05DG838W22GRMCRMZK', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'jetson-controller-agx-01-sp48', 'location': 'zz-ota', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'fd718351-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:49.788Z,"E0309 09:54:49.788384    6275 dns.go:126] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: egx-system.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvprod.nvidia.com client.nvidia.com""","{'gl2_accounted_message_size': '447.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MY05AKPWZSEK6ATPWAS3', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'jetson-controller-agx-01-sp48', 'location': 'zz-ota', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'fd718350-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:49.672Z,"E0309 01:54:49.671199     370 dns.go:147] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: default.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvclient.nvidia.com nvprod.nvidia.com""","{'gl2_accounted_message_size': '429.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCS71RQK3QATXGRCN2T', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f794336e-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:49.672Z,"E0309 01:54:49.672206     370 pod_workers.go:918] ""Error syncing pod, skipping"" err=""failed to \""StartContainer\"" for \""video-analytics-demo-l4t-1\"" with CrashLoopBackOff: \""back-off 5m0s restarting failed container=video-analytics-demo-l4t-1 pod=remmc-video-analytics-demo-l4t-7d475d5c5d-zcl2r_default(0bd2f9de-e031-4674-b4d2-980b192fe629)\"""" pod=""default/remmc-video-analytics-demo-l4t-7d475d5c5d-zcl2r"" podUID=0bd2f9de-e031-4674-b4d2-980b192fe629","{'gl2_accounted_message_size': '595.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCS392GN1FFECZJ8R2F', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f794336f-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:49.670Z,"I0309 01:54:49.670834     370 scope.go:110] ""RemoveContainer"" containerID=""3426f9928b6bb9182924ca3781051f08ff5028eb062bc35b1fb05a2973252b7c""","{'gl2_accounted_message_size': '286.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCS556H0EHH658R1PMW', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f794336d-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:49.670Z,"I0309 01:54:49.670728     370 kubelet_pods.go:898] ""Unable to retrieve pull secret, the image pull may not succeed."" pod=""default/remmc-video-analytics-demo-l4t-7d475d5c5d-zcl2r"" secret="""" err=""secret \""nvidia-registrykey-secret\"" not found""","{'gl2_accounted_message_size': '387.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCS7ZRZ8DAPPD4EHMNZ', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f794336c-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:48.180Z,2022-03-09T09:54:48.017135322Z stderr F I0309 09:54:48.012868       1 passthrough.go:48] ccResolverWrapper: sending update to cc: {[{https://127.0.0.1:2379  <nil> 0 <nil>}] <nil> <nil>},"{'gl2_accounted_message_size': '452.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MY0GH115Z32YH7QS7GB8', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'pod_name': 'kube-apiserver-tegra-ubuntu', 'namespace_name': 'kube-system', 'component': 'kube-apiserver', 'system': 'jetson-controller-agx-01-sp48', 'container_name': 'kube-apiserver', 'tier': 'control-plane', 'location': 'zz-ota', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'fd733101-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:48.180Z,"2022-03-09T09:54:48.018120364Z stderr F I0309 09:54:48.013229       1 clientconn.go:948] ClientConn switching balancer to ""pick_first""","{'gl2_accounted_message_size': '401.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MY0G1QTZ1Y2M1WTHGR6R', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'pod_name': 'kube-apiserver-tegra-ubuntu', 'namespace_name': 'kube-system', 'component': 'kube-apiserver', 'system': 'jetson-controller-agx-01-sp48', 'container_name': 'kube-apiserver', 'tier': 'control-plane', 'location': 'zz-ota', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'fd733102-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:48.150Z,"2022-03-09T09:54:48.013318802Z stderr F I0309 09:54:48.011161       1 client.go:360] parsed scheme: ""passthrough""","{'gl2_accounted_message_size': '380.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MY0GBMGSENZDQB375546', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'pod_name': 'kube-apiserver-tegra-ubuntu', 'namespace_name': 'kube-system', 'component': 'kube-apiserver', 'system': 'jetson-controller-agx-01-sp48', 'container_name': 'kube-apiserver', 'tier': 'control-plane', 'location': 'zz-ota', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'fd733100-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:45.786Z,"E0309 09:54:45.786772    6275 dns.go:126] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: egx-system.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvprod.nvidia.com client.nvidia.com""","{'gl2_accounted_message_size': '447.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MFB7C9PAD62Z9FX3VBG2', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'jetson-controller-agx-01-sp48', 'location': 'zz-ota', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f47fa062-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:45.248Z,"I0309 09:54:45.246773    4677 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-scheduler-test-247-0308-1.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '334.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MF772MHTKHXNZ254DBTE', 'source': 'test-247-0308-1.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-247-0308-1', 'location': 'bob-sprint501-0308-1', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f46c1860-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:45.246Z,"I0309 09:54:45.246641    4677 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-apiserver-test-247-0308-1.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '334.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MF76EC1ZN9X50RXQ9CHF', 'source': 'test-247-0308-1.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-247-0308-1', 'location': 'bob-sprint501-0308-1', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f46bf151-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:45.246Z,"I0309 09:54:45.246707    4677 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/etcd-test-247-0308-1.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '324.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MF76D3930WF8C69VH9FX', 'source': 'test-247-0308-1.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-247-0308-1', 'location': 'bob-sprint501-0308-1', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f46bf152-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:45.246Z,"I0309 09:54:45.246736    4677 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-controller-manager-test-247-0308-1.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '343.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MF76TZ4CQ3W1HEJSHV8N', 'source': 'test-247-0308-1.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-247-0308-1', 'location': 'bob-sprint501-0308-1', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f46bf153-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:44.785Z,"E0309 09:54:44.785371    3797 dns.go:147] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: egx-system.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvprod.nvidia.com client.nvidia.com""","{'gl2_accounted_message_size': '460.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMQVKZMJ97YRRRMA4SQT', 'source': 'fc-79-0307.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'fc-79-0307', 'location': 'aa-vicky-loc2-sp51-1-0307', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'f7ca85a2-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:43.770Z,"I0309 09:54:43.770742    4195 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/etcd-node-t4-0308.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '308.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MSW95ZYK8G6863KBBCMP', 'source': 'node-t4-0308.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'node-t4-0308', 'location': 'test-sp501-t4', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'faed7081-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:43.770Z,"I0309 09:54:43.770793    4195 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-scheduler-node-t4-0308.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '318.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MSW9F8X5QMM8724Z71B8', 'source': 'node-t4-0308.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'node-t4-0308', 'location': 'test-sp501-t4', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'faed7083-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:43.770Z,"I0309 09:54:43.770680    4195 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-controller-manager-node-t4-0308.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '327.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MSW9B7081HS23CVK7QCP', 'source': 'node-t4-0308.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'node-t4-0308', 'location': 'test-sp501-t4', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'faed7080-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:43.770Z,"I0309 09:54:43.770770    4195 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-apiserver-node-t4-0308.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '318.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MSW9RN8HWPF44143J1Q9', 'source': 'node-t4-0308.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'node-t4-0308', 'location': 'test-sp501-t4', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'faed7082-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:43.673Z,"E0309 01:54:43.673398     370 dns.go:147] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: helm.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvclient.nvidia.com nvprod.nvidia.com""","{'gl2_accounted_message_size': '426.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCRWG06ATRG9H0QA4JD', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f794336b-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:41.237Z,"E0309 09:54:41.237174    3432 dns.go:147] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: egx-system.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvprod.nvidia.com client.nvidia.com""","{'gl2_accounted_message_size': '462.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '41774.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MQ8WJDJJ50NP1EETBZ92', 'source': 'node2203091-78.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'node2203091-78', 'location': 'kkusp50-qa220309-01', 'gl2_source_node': '369846d3-91e2-43cb-8737-362be50ed024', '_id': 'f95655c0-9f8e-11ec-a0c2-ce73c4fb4fa7'}"
2022-03-09T09:54:39.529Z,"I0309 09:54:39.529562  354643 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-apiserver-test-250-0307.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '329.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MK5Y0HFWMQRJJ4M7H4BK', 'source': 'test-250-0307.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-250-0307', 'location': 'bob-sprint50dot1-0307', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f6d6fde0-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:39.529Z,"I0309 09:54:39.529674  354643 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/etcd-test-250-0307.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '319.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MK5Z5NGTJ2T4M6Z7N4J4', 'source': 'test-250-0307.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-250-0307', 'location': 'bob-sprint50dot1-0307', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f6d6fde3-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:39.529Z,"I0309 09:54:39.529617  354643 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-scheduler-test-250-0307.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '329.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MK5ZV17NFES38DYAKWXR', 'source': 'test-250-0307.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-250-0307', 'location': 'bob-sprint50dot1-0307', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f6d6fde1-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:39.529Z,"I0309 09:54:39.529649  354643 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-controller-manager-test-250-0307.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '338.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MK5ZCPZ6N996RZNBFVPR', 'source': 'test-250-0307.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'test-250-0307', 'location': 'bob-sprint50dot1-0307', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f6d6fde2-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:38.788Z,"E0309 09:54:38.787868    6275 dns.go:126] ""Search Line limits exceeded"" err=""Search Line limits were exceeded, some search paths have been omitted, the applied search line is: helm.svc.cluster.local svc.cluster.local cluster.local nvidia.com nvprod.nvidia.com client.nvidia.com""","{'gl2_accounted_message_size': '441.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '42094.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MFB7QN1ZKX8XTJEVQFXG', 'source': 'tegra-ubuntu', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'jetson-controller-agx-01-sp48', 'location': 'zz-ota', 'gl2_source_node': '614c6fc5-3616-4aa6-8036-c465038b6817', '_id': 'f47fa061-9f8e-11ec-b5bb-b2daea9c5f78'}"
2022-03-09T09:54:38.532Z,"I0309 01:54:38.532040     370 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-controller-manager-nx-mdf.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '299.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCR4JKNTTWEEB8MFKA9', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f7943368-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:38.532Z,"I0309 01:54:38.532133     370 kubelet_getters.go:176] ""Pod status updated"" pod=""default/xavier-static-validation-pod-nx-mdf.egx.nvidia.com"" status=Succeeded","{'gl2_accounted_message_size': '302.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCRR17EZ06HGYNG06HK', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f794336a-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:38.532Z,"I0309 01:54:38.532088     370 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-scheduler-nx-mdf.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '290.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCRB9P7QQSR0GMG1ZHK', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f7943369-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:38.531Z,"I0309 01:54:38.531705     370 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/kube-apiserver-nx-mdf.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '290.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCRJDAA826E233S22R8', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f7943366-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:38.531Z,"I0309 01:54:38.531964     370 kubelet_getters.go:176] ""Pod status updated"" pod=""kube-system/etcd-nx-mdf.egx.nvidia.com"" status=Running","{'gl2_accounted_message_size': '280.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCRQF9YHNXCPMZ0JJTC', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f7943367-9f8e-11ec-ba6c-b65471d23443'}"
2022-03-09T09:54:37.846Z,I0309 01:54:37.846705     370 gce.go:44] Error while reading product_name: open /sys/class/dmi/id/product_name: no such file or directory,"{'gl2_accounted_message_size': '283.0', 'gl2_remote_ip': '127.0.0.1', 'gl2_remote_port': '47438.0', 'streams': '[000000000000000000000001]', 'gl2_message_id': '01FXQ1MMCQ5RHQDHFEJWDXA7M4', 'source': 'nx-mdf.egx.nvidia.com', 'gl2_source_input': '60f5ed2ed669f40034bd6ddd', 'component': 'kubelet.service', 'system': 'xavier', 'location': 'ynx', 'gl2_source_node': 'c17cf64b-d2a4-41c1-bba3-301f9a1f72a7', '_id': 'f7943365-9f8e-11ec-ba6c-b65471d23443'}"
